clip_index,trick_index,trick,switch,line,slowmo,obstacle,obstacle_detailed,location,video
6,8,fakie slappy to tailslide to switch crook to bs shuvit,,,,,,,Union Wheels - Right to Skate - 1992
7,9,switch fs bigspin,1,1,1,stair,,,Union Wheels - Right to Skate - 1992
7,10,bs shuvit,,1,,flat,,,Union Wheels - Right to Skate - 1992
7,11,bs kickflip,,1,1,flat,,,Union Wheels - Right to Skate - 1992
8,12,varial heelflip,,,,stair,,,Union Wheels - Right to Skate - 1992
9,13,bs noseslide to fs bigspin,,,,ledge,,,Union Wheels - Right to Skate - 1992
10,14,switch slappy to switch bs boardslide to fs noseslide to fakie,1,,,ledge,curb,,Union Wheels - Right to Skate - 1992
11,15,switch bs boardslide to 270 out,1,,,ledge,,,Union Wheels - Right to Skate - 1992
12,16,bs noseslide,,1,,ledge,,,Union Wheels - Right to Skate - 1992
12,17,treflip,,1,,flat,,,Union Wheels - Right to Skate - 1992
13,18,kickflip,,,1,stair,4 flat,,Union Wheels - Right to Skate - 1992
1,1,nollie flip,1,1,,flat,,,Birdhouse - Untitled - 1992
1,2,kickflip to fs 5-0,,1,,ledge,curb,,Birdhouse - Untitled - 1992
1,3,nollie fs tailslide to fakie,1,,,ledge,,,Birdhouse - Untitled - 1992
1,4,fakie heelflip,,,,stair,off curb,,Birdhouse - Untitled - 1992
2,5,bs kickflip,,,,stair,,,Birdhouse - Untitled - 1992
3,6,bs halfcab,,,,stair,,,Birdhouse - Untitled - 1992
4,7,nollie fs bigspin heel,1,,,hip,,skatepark,Birdhouse - Untitled - 1992
5,8,fs kickflip,,,,hip,,skatepark,Birdhouse - Untitled - 1992
6,9,fakie kickflip,,,,hip,,skatepark,Birdhouse - Untitled - 1992
7,10,fakie fs 360 kickflip,,,,hip,,skatepark,Birdhouse - Untitled - 1992
8,11,fakie fs 360 heelflip,,,,hip,,skatepark,Birdhouse - Untitled - 1992
9,12,fs double kickflip,,,,hip,,skatepark,Birdhouse - Untitled - 1992
10,13,switch heelflip to fs noseslide,1,,,ledge,,skatepark,Birdhouse - Untitled - 1992
11,14,switch ollie,1,1,,ledge,up ledge,skatepark,Birdhouse - Untitled - 1992
11,15,switch fs shuvit,1,1,,flat,,skatepark,Birdhouse - Untitled - 1992
11,16,bs halfcab to fs 5-0 to bs 180,,1,,ledge,,skatepark,Birdhouse - Untitled - 1992
11,17,switch bs heelflip,1,1,,flat,,skatepark,Birdhouse - Untitled - 1992
12,18,nollie fs tail to 270 out,1,,,ledge,,skatepark,Birdhouse - Untitled - 1992
13,19,nollie heelflip to fs tailslide,1,,,ledge,,skatepark,Birdhouse - Untitled - 1992
14,20,fs pivot to kickflip to fakie,,,,ramp,,skatepark,Birdhouse - Untitled - 1992
15,21,fakie 5-0 to kickflip,,,,ledge,,skatepark,Birdhouse - Untitled - 1992
16,22,halfcab to bs noseslide to bs noseslide,,,,ledge,drop down ledge,skatepark,Birdhouse - Untitled - 1992
17,23,fs 5-0 to kickflip,,,,ledge,,skatepark,Birdhouse - Untitled - 1992
18,24,kickflip to fs tailslide to fakie,,,,ledge,,skatepark,Birdhouse - Untitled - 1992
19,25,switch fs tailslide to switch,1,,,ledge,hubba,,Birdhouse - Untitled - 1992
20,26,switch treflip,1,,,stair,,,Birdhouse - Untitled - 1992
21,27,switch fs 180,1,,,gap,,,Birdhouse - Untitled - 1992
22,28,nollie heelflip to fs noseslide to fakie,1,,,ledge,curb,,Birdhouse - Untitled - 1992
23,29,switch fs blunt,1,,,ledge,curb,,Birdhouse - Untitled - 1992
24,30,halfcab to bs noseslide to bs noseslide to bs 180 body varial,,,,ledge,,,Birdhouse - Untitled - 1992
25,31,halfcab heelflip to bs noseslide to switch,,,,ledge,curb,,Birdhouse - Untitled - 1992
26,32,nollie varial heeflip,1,1,,flat,,,Birdhouse - Untitled - 1992
26,33,heelflip to fs noseslide to fakie,,1,,ledge,curb,,Birdhouse - Untitled - 1992
27,34,nollie flip to bs noseslide to fakie,1,,,ledge,curb,,Birdhouse - Untitled - 1992
28,35,kickflip to bs noseslide to fakie,,,,ledge,hubba,,Birdhouse - Untitled - 1992
29,36,fs 5-0 to switch crook to bs shuvit,,,,ledge,,,Birdhouse - Untitled - 1992
30,37,switch manual,1,1,,manual,,,Birdhouse - Untitled - 1992
31,38,switch bs 5-0,1,1,,ledge,curb,,Birdhouse - Untitled - 1992
32,39,switch bs 180,1,,,stair,,,Birdhouse - Untitled - 1992
33,40,nollie fs 180 to switch manual to switch heelflip,1,,,manual,,,Birdhouse - Untitled - 1992
1,1,bs noseslide,,,,rail,,,Birdhouse - Ravers -1993
2,2,bs ollie to late bs shuvit,,,,ramp,,,Birdhouse - Ravers -1993
3,3,bs 180 to late back foot kickflip,,,,hip,,,Birdhouse - Ravers -1993
4,4,sw fs bigspin,1,,,gap,,,Birdhouse - Ravers -1993
5,5,bs noseslide to pop over,,1,,ledge,,,Birdhouse - Ravers -1993
5,6,nollie heelflip,1,1,,flat,,,Birdhouse - Ravers -1993
6,7,switch fs kickflip,1,,,stair,,,Birdhouse - Ravers -1993
7,8,fakie nosegrind to switch crook to switch,,1,,,,,Birdhouse - Ravers -1993
7,9,switch kickflip,1,1,,flat,,,Birdhouse - Ravers -1993
8,10,switch fs bigspin heelflip,1,1,,stair,,,Birdhouse - Ravers -1993
8,11,bs shuvit,,1,,flat,,,Birdhouse - Ravers -1993
8,12,nollie treflip,1,1,,flat,,,Birdhouse - Ravers -1993
1,1,manual,,1,,manual,,,TWS - 4 Wheel Drive - 1996
1,2,fs 5050,,1,,rail,flatbar,,
2,3,bs 180,,,,gap,,,
3,4,kickflip,,,,bench,bump over,,
4,5,fs noseblunt,,1,,ledge,,,
4,6,bs 5050,,1,,rail,"bump to rail, pop over",,
5,7,bs boardslide to fakie,,,,rail,"bump to rail, pop over",,
6,8,ollie,,,,fence,bump over fence,,
7,9,ollie,,1,,stair,up stair,,
7,10,treflip,,1,,flat,,,
7,11,fs kickflip,,1,,stair,,,
7,12,bs halfcab,,1,,flat,,,
7,13,fs lipslide,,1,,rail,,,
8,13,fs lipslide,,,,rail,,,
9,14,nollie bs noseslide,1,1,,ledge,,,
9,15,fs 5050,,1,,rail,,,
10,16,kickflip,,,,stair,,,
11,17,fs halfcab,,,,stair,,,
12,18,fs kickflip,,,,stair,,,
13,19,bs 5-0 to bs 180,,,,ledge,,,
14,20,fs boardslide,,1,,rail,,,
14,21,bs 5050,,1,,rail,,,
15,22,fs boardslide,,,,rail,,,
16,23,fs tailslide,,1,,ledge,,,
16,24,fs lipslide,,1,,ledge,,,
17,25,fs nosegrind,,,,rail,,,
18,26,bs feeble to fs 180,,,,rail,,,
19,27,fs 5050,,,,rail,bank to rail,,
20,28,bs wallride,,1,,wallride,planter,,
20,29,bs 5050,,1,,ledge,,,
20,30,fs 5-0,,1,,ledge,,,
20,31,nollie fs 180,1,1,,stair,,,
21,32,bs 5050,,,,rail,,,
22,33,bs feeble,,,,rail,,,
23,34,bs kickflip,,,,gap,,,
24,35,nollie fs 5050,1,,,rail,,,
25,36,nollie bs noseslide,1,,,rail,,,
26,37,bs feeble,,1,,rail,,,
26,38,fs kickflip,,1,,stair,,,
,,2:16 timestamp TWS 4 wheel drive,,,,,,,
